Product Name,Company Name,Product Code,Use,SDS #,Version #,Issue Date,Revision Date,Supersedes Date,HAZMAT Chemical Composition,HFRP Info,External Link To SDS
All Purpose Cleaner Spray,ULINE,S-19455,Office Cleaning,N/A,1,43166,43166,N/A,2-(2-butoxyethoxy)ethanol,0/0/0/B,https://www.uline.com/PDF/SS-19455.pdf
Uline All-Purpose Cleaner Refill,ULINE,S-19456,Office Cleaning,N/A,1,44309,N/A,N/A,2-(2-butoxyethoxy)ethanol,0/0/0/B,SS-19456pdf
Uline Air Freshener - Cool Linen,ULINE,S-17147,Office Cleaning,N/A,1,44883,N/A,N/A,N/A,0/1/0/0,https://img.uline.com/is/content/uline/SS-17147pdf
Clorox® Germicidal Bleach Concentrated,"S.C. Johnson & Son, Inc.",N/A,Office Cleaning,N/A,2,43959,43966,N/A,Sodium hypochlorite,3/0/0/X,https://www.thecloroxcompany.com/wp-content/uploads/2020/06/CloroxPro%C2%AE-Clorox%C2%AE-Germicidal-Bleach_Multilingual2.pdf
Uline Toilet Bowl Cleaner,ULINE,S-24321,Office Cleaning,N/A,1,44539,N/A,N/A,Hydrochloric Acid,3/0/0/0,https://img.uline.com/is/content/uline/SS-24321pdf
Uline Glass Cleaner,ULINE,S-19452,Office Cleaning,N/A,1,44354,N/A,N/A,"2-Propanol, Surfactant Blend, Ammonia",0/0/0/0,https://img.uline.com/is/content/uline/SS-19452pdf
Uline Multi-Purpose Cleaner - Lavender,ULINE,S-19454,Office Cleaning,N/A,1,44224,N/A,N/A,Surfactant Blend,2/0/0/0,SS-19454pdf
30 SecondsMold & MIldew Remover,30 Seconds Cleaners,30S110,Office Cleaning,N/A,1,44936,N/A,N/A,Sodium hypochlorite,3/0/0/0,https://30secondscleaners.com/mwdownloads/download/link/id/2308?srsltid=AfmBOopMqNLp6v6WuhaT0C1VLW281Lznlv2oNFuV4zXYCPq4oPifptqW
ORANGE-SOL: Multi-Use Citrus Solvent,Orange-Sol,N/A,General Cleaning,50026-001,2,33697,37294,33697,N/A,0/2/0/0,MS-CC-DMU.pdf
 Pure Bright Germicidal Ultra Bleach,KIK Custom Products,11008-635041,General Cleaning,59647-21014,1,42108,N/A,N/A,Sodium hypochlorite,2/0/1/0,https://amp.generalair.com/msdsdocs/jmzpbgubs.pdf
Uline Liquid Ice Melt,ULINE,N/A,Outdoor Maintenance,N/A,5,42339,N/A,N/A,Calcium Chloride,1/0/0/0,SS-25016pdf
Multi-Purpose Lubricant & Corrosion Inhibitor,CRC,3006,Machine Maintenance,N/A,1,43918,N/A,N/A,"petrolatum , acetate, butyl stearate, paraffin oils (petroleum), distillates (petroleum",1/4/0/0,https://www.crcindustries.com/media/msdsen/msds_en-1003257.pdf
Uline Antibacterial Handsoap,ULINE,S-17087,Personell Cleaning,N/A,1,44596,N/A,N/A,"Benzalkonium Chloride 0.13% w/w 68391-01-5 0 - 10 - -
Water 7732-18-5 50 - 100 - -
Lauramine Oxide 1643-20-5 0 - 10 - -
Cocamidopropyl Betaine 61789-40-0 0 - 10 - -
Lauramidopropylamine Oxide 61792-31-2 0 - 10 - -
Sodium Chloride 7647-14-5 0 - 10 - -
Myristamidopropylamine Oxide 67806-10-4 0 - 10 - -
Glycerin 56-81-5 0 - 10 - -
Fragrance Proprietary 0 - 10 - -
Disteareth-75 IPDI 53533-75-8 0 - 10 - -
PEG-150 Distearate 9005-08-7 0 - 10 - -
Citric Acid 77-92-9 0 - 10 - -
Tetrasodium EDTA 64-02-8 0 - 10 - -
Benzophenone-4 4065-45-6 0 - 10 - -
Sodium Benzoate 532-32-1 0 - 10 - -
Red 33 3567-66-6 0 - 10 - -
Red 40 25956-17-6 0 - 10 - -
Yellow 5 ",3/0/0/0,SS-17080pdf
Uline Antibacterial Handsoap,ULINE,S-20661,Personell Cleaning,N/A,1,44596,N/A,N/A,"Benzalkonium Chloride 0.13% w/w 68391-01-5 0 - 10 - -
Water 7732-18-5 50 - 100 - -
Lauramine Oxide 1643-20-5 0 - 10 - -
Cocamidopropyl Betaine 61789-40-0 0 - 10 - -
Lauramidopropylamine Oxide 61792-31-2 0 - 10 - -
Sodium Chloride 7647-14-5 0 - 10 - -
Myristamidopropylamine Oxide 67806-10-4 0 - 10 - -
Glycerin 56-81-5 0 - 10 - -
Fragrance Proprietary 0 - 10 - -
Disteareth-75 IPDI 53533-75-8 0 - 10 - -
PEG-150 Distearate 9005-08-7 0 - 10 - -
Citric Acid 77-92-9 0 - 10 - -
Tetrasodium EDTA 64-02-8 0 - 10 - -
Benzophenone-4 4065-45-6 0 - 10 - -
Sodium Benzoate 532-32-1 0 - 10 - -
Red 33 3567-66-6 0 - 10 - -
Red 40 25956-17-6 0 - 10 - -
Yellow 6",3/0/0/0,https://img.uline.com/is/content/uline/SS-17080pdf
Crystal Simple Green® Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",43318000188,Indoor Cleaning,19000-22B,N/A,44720,N/A,44593,C9-11 Alcohols Ethoxylated,1/0/0/0,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenCrystalIndustrialCleanerDegreaser.pdf
EverPrime™,"Waterless Co., Inc.",N/A,Indoor Cleaning,1514,1,43110,N/A,N/A,N/A,1/0/0/0,https://static1.squarespace.com/static/55f0bb56e4b0292a721109c4/t/5a4d4cfc71c10b69178b0eb6/1515015422878/SDS+EverPrime%C2%81+1514_2018.pdf
FABULOSO ALL PURPOSE CLEANER LIQUID OCEAN COOL,Colgate-Palmolive Co,200000053409,Indoor Cleaning,660000004749,1,42947,42947,N/A,Sodium Dodecyl Benzene Sulfonate (Linear),1/1/0/0,https://www.uline.com/PDF/SS-18398.pdf
Uline Dish Soap,ULINE,S-25783,Indoor Cleaning,N/A,1,45105,N/A,N/A,Sodium C14-16 Olefin Sulfonate,3/0/0/0,SS-25782pdf
Rust-oleum HighPerformance Yellow Safety Paint,Rust-Oleum,242258,General Mainteneance,N/A,2,43038,43038,42646,21% of the mixture consists of ingredient(s) of unknown acute toxicity,2/2/0/0,https://dkstatic.blob.core.windows.net/resources/1126702/242258.pdf
,Rust-Oleum,,General Mainteneance,N/A,2,43038,10/3/02017,10/3/02017,21% of the mixture consists of ingredient(s) of unknown acute toxicity,2/2/0/0,
HENRY® EASYRELEASE Adhesive Remover,W.W. Henry Company,70010862,General Cleaning,N/A,1,44203,44203,N/A,Ethanolamine / 2-butoxyethoxy,3/0/0/0,https://images.homedepot-static.com/catalog/pdfImages/57/57ffc0ed-765c-4dd3-993d-0212e5b26bba.pdf
Klean Strip Green Adhesive Remover,W. M. Barr,N/A,General Cleaning,N/A,N/A,42213,N/A,42195,Benzenemethanol (Benzyl alcohol),2/1/0/0,https://images.thdstatic.com/catalog/pdfImages/00/0002fd0b-96f8-40a7-ae9a-c2cca37951bc.pdf
LU™910 Food Grade Silicone Lubricant Aerosol,Sprayon Products Group,SC0910000,General Cleaning,SHW-85-NA-GHS-US,8.01,44461,44461,44303,Trichloroethylene,2/3/0/0,https://www.paintdocs.com/docs/webPDF.jsp?SITEID=SO&doctype=SDS&lang=en&prodno=075577759316&cntry=US
Lysol Brand II Kills 99.9% of Viruses & Bacteria** All Purpose Purpose Cleaner Complete Clean Lemon Breeze Scent,Reckitt Benckiser LLC.,FF372256,General Cleaning,D0203066,3,42118,N/A,40946,benzyl-C12-16-alkyldimethyl,1/0/0/B,https://resources.cleanitsupply.com/MSDS/RAC75352EA_SDS.PDF
Mr. Clean Professional Glass and Multi-Surface Cleaner - Ready to Use,Procter & Gamble,91483190_PROF_NG,General Cleaning,N/A,1,43544,43544,N/A,N/A,0/1/0/0,https://resources.cleanitsupply.com/MSDS/PGC81308_SDS.PDF
Nviroclean™,"Waterless Co., Inc.",N/A,General Cleaning,1614,1,43110,N/A,N/A,Dipropylene glycol monomethyl ether,0/0/0/0,https://static1.squarespace.com/static/55f0bb56e4b0292a721109c4/t/5a4d4d7e4192020626615fa2/1515015553407/SDS+Nviroclean+1614_2018.pdf
Professional Lysol® Brand Kills 99.9% of Viruses & Bacteria Power Toilet Bowl Cleaner (Liquid),Reckitt Benckiser LLC.,FF0259960,General Cleaning,D0102520,1,42331,42331,N/A,"Hydrochloric acid / Amines, tallow alkyl, ethoxylated / Alcohols, C12-16, ethoxylated",3/0/1/D,http://www.rbnainfo.com/MSDS/US/Professional%20Lysol%20Brand%20TBC%20EN%20GHS.pdf
Simple Green® All-Purpose Cleaner,"Sunshine Makers, Inc.",43318000652,General Cleaning,13000-21A,N/A,44228,N/A,43320,C9-11 Alcohols Ethoxylated,0/0/0/B,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenAllPurposeCleaner.pdf
Simple Green® Industrial Cleaner & Degreaser,"Sunshine Makers, Inc.",43318000003,Machine Cleaning,13008-21A,N/A,44350,N/A,43251,C9-11 Alcohols Ethoxylated,0/0/0/B,https://cdn.simplegreen.com/downloads/SDS_EN-US_SimpleGreenIndustrialCleanerDegreaser.pdf
SOFTSOAP ANTIBACTERIAL LIQUID SOAP - HAND CRISP CLEAN,Colgate-Palmolive Co,200000048132,Office Cleaning,660000001317,1.1,N/A,42465,N/A,CETRIMONIUM CHLORIDE ,3/1/0/0,http://sds.staples.com/msds/789230.pdf
ULTRA PALMOLIVE ANTIBACTERIAL DISH LIQUID,Colgate-Palmolive Co,200000035885,Office Cleaning,660000001345,1.6,42530,43633,N/A,Sodium Laureth Sulfate,3/1/0/0,https://content.oppictures.com/Master_Images/Master_PDF_Files/CPC45038_SDS.PDF
Ultra Shine Dishwashing Liquid-Lemon,Ultra Soap International,N/A,Office Cleaning,112000,N/A,N/A,42489,42133,Sodium Laureth Sulfate,3/1/0/0,http://ultrasoap.com/assets/ultra-sds-ultra-shine-lemon-dish.pdf
WINDEX® ORIGINAL GLASS CLEANER,"S.C. Johnson & Son, Inc.",N/A,Office Cleaning,350000014153,1,42619,N/A,N/A,N/A,1/0/0/0,https://beta.lakeland.edu/AboutUs/MSDS/PDFs/3258/Windex%20Original%20Glass%20Cleaner%20(SC%20Johnson)%201-23-18.pdf
A118-4 Additive for Markem 9450 Coders,Markem Imaje,A118-4,Coder,UN1193,0.03,44755,44755,N/A,Methyl ethyl ketone,1/3/0/0,https://www.markem-imaje.com/services-support/safety-data-sheets
MB175-4 Ink for Markem 9450 Coders,Markem Imaje,MB175-4,Coder,UN1210,2.03,44791,44755,N/A,Methyl ethyl ketone,1/3/0/0,https://www.markem-imaje.com/services-support/safety-data-sheets
SI-CIJ9020 Black Ink,Squid Ink,SI-CIJ9020,Coder,N/A,1.2,42060,43997,N/A,butanone / 1-methoxy-2-propanol,1/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
SI-CIJ9030 Black Ink,Squid Ink,SI-CIJ9030,Coder,N/A,1,43074,43074,N/A,butanone / ethyl methyl ketone,2/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
SI-CIJ9090 Make-Up,Squid Ink,SI-CIJ9090,Coder,N/A,1.2,42227,43997,N/A,"butanone / ethyl (S)-2-hydroxypropionate, ethyl L-lactate, ethyl-(S)-lactate",1/3/0/0,https://drive.google.com/drive/folders/1UEq_4ifSSUOTW7ufJqijrt9dSyCHvpun
3M Silicone Spray,3M,62-4699-4930-9 (8),Lubricant,N/A,5.01,43244,42552,42552,"Acetone, Hydrotreated Light Naphtha (Petroleum), Propane, Poly(Dimethylsiloxane, Methylcylohexane, Solvent Naphtha",2/4/0/0,https://www.uline.com/PDF/SS-18768.pdf
Rapid Tap Cutting Oil,Relton Corporation,N/A,Lubricant,N/A,1,42093,New Issue,N/A,"Mineral oil (70-90%), C14-C16 chlorinated paraffin (<40%), Calcium sulfonate (2-3%)",1/1/0/C,https://sojoindustries0.sharepoint.com/:b:/s/SojoSharedDocuments/EbfO-v_LeUVGh7iQZfYP8H0Bg0qFNk5YFUyjiuHDqEfHwA?e=Vuu1Vl
Spray-on Food Grade Silicone Lubricant,Sprayon Products,S00210,Lubricant,N/A,1,42076,N/A,N/A,"Hexane (42%), 2-Methylpentane (19.4%), Propane (15%), 3-Methylpentane (7.2%)",2/4/0/0,https://sojoindustries0.sharepoint.com/:b:/s/SojoSharedDocuments/EQXbYCMOjjZJuVk194M89-MBFerINpXAqnkF-XfnuA1jZQ?e=njAQch
Markem Imaje 320 Cleaner,Markem-Imaje,80000343204B,Coder,UN1993,4,46134,46134,,"Isopropyl Alcohol (~60-70%), Ethyl Acetate (~30-40%)",2/3/0/0,https://sojoindustries0.sharepoint.com/sites/SojoSharedDocuments/Shared%20Documents/SQF%20&%20QPI%20Folder/Archive/MSDS%20Information/Markem%20Imaje%20320%20Cleaner.pdf?CT=1778009111383&OR=ItemsView
"SPRAYON Machine Oil: LU700, H1, 10 oz, Aerosol Can, ISO Grade 32",Sprayon Products,S00700,Machine Maintenance,N/A,1,42153,N/A,N/A,"Aliphatic Solvent (67.5%), Paraffinic Mineral Oil (30%)",2/4/0/0,https://www.grainger.com/sds/pdf/220785.pdf
LPS DETEX FoodLube Sugar Dissolving Fluid,ITW Pro Brands,57716 / 57728 / C57701,Machine Maintenance,57716,1.2,43630,44967,43242,"Petroleum lubricants, corrosion inhibitors",1/1/0/0,https://www.itwprobrands.com/files/techdatasheets/LPSDETEXFOODLUBESugarDissolvingFluid-.pdf
Klean-Strip Denatured Alcohol,W.M. Barr / Klean-Strip,GSL26 / QSL26 series,Machine Maintenance,GKSL26,3.1,43909,45148,43105,"Ethanol, Methanol, Methyl Isobutyl Ketone",2/3/0/0,https://kleanstrip.com/heating-fuels/denatured-alcohol/
WD-40 EZ-REACH,WD-40 Company,EZ-REACH,Machine Maintenance,491567,2,44294,45303,43723,"Petroleum distillates, base oils, CO2 propellant",12/0/0,https://www.wd40.com/products/ez-reach/
CRC QD Electronic Cleaner,CRC Industries,5103,Machine Maintenance,5103,5.4,44137,45187,43657,"Hexane, ethanol, CO2",2/4/0/0,https://www.crcindustries.com/qd-174-electronic-cleaner-11-wt-oz/
Chemtronics Electro-Wash PX,Chemtronics,ES1605 / ES1610,Machine Maintenance,ES1605,4,43693,44896,43210,"n-Hexane, IPA, hydrocarbon propellants",2/4/0/0,https://www.chemtronics.com/electro-wash-px
AGS Sil-Glyde Silicone Compound,American Grease Stick,BK-4,Machine Maintenance,BK-4,2.3,43145,44369,42652,"Silicone compounds, petroleum oils",1/1/0/0,https://agscompany.com/product/sil-glyde-silicone-brake-lubricant/
CRC 3-36 Multi-Purpose Lubricant,CRC Industries,3005,Machine Maintenance,3005,3.8,44223,45327,43542,"Petroleum distillates, mineral oil",1/2/0/0,https://www.crcindustries.com/3-36-multi-purpose-lubricant-and-corrosion-inhibitor-11-wt-oz/
Bernzomatic Butane Fuel,Worthington Enterprises,BF56,Machine Maintenance,BF56,2.1,43595,45121,42972,Butane,1/4/0/0,https://www.bernzomatic.com/Products/Fuel-Cylinders/Butane/BF56
GOJO Natural Orange Pumice Hand Cleaner,GOJO Industries,0955 / 0956,Cleaner,955,1.9,43983,45014,43416,"Citrus solvents, pumice, surfactants",1/0/0/0,https://www.gojo.com/en/Product/0955-04
Great Stuff Fireblock Insulating Foam Sealant,DuPont,Fireblock,Machine Maintenance,FB136,6.2,44456,45321,43957,"Diphenylmethane diisocyanate (MDI), propane",2/4/1/0,https://www.greatstuff.dupont.com/products/greatstuff-fireblock.html
Loctite Threadlocker / Thread Smart,Henkel,242,Machine Maintenance,242,5,44117,45238,43517,"Dimethacrylate ester, cumene hydroperoxide",2/1/0/0,https://www.henkel-adhesives.com/us/en/product/threadlockers/loctite_2420.html
Lubriplate Grease,Lubriplate Lubricants Company,630-AA,Machine Maintenance,630-AA,2.7,43469,44792,42901,"Petroleum oil, lithium soap, additives",1/1/0/0,https://www.lubriplate.com/Products/Greases/Multi-Purpose-Greases/630-Series/630-AA
testchemical,,,,,,,,,,,
