Product Name,Company Name,Product Code,Use,SDS #,Version #,Issue Date,Revision Date,Supersedes Date,HAZMAT Chemical Composition,HFRP Info,External Link To SDS
Redlands All Purpose Cleaner,Sojo Supply,RD-1001,General Cleaning,N/A,1,45291,45291,N/A,2-butoxyethanol,1/1/0/B,https://example.com/sds/redlands-all-purpose-cleaner.pdf
Warehouse Floor Degreaser,Pacific Industrial,RD-1002,Machine Cleaning,N/A,1,45292,45292,N/A,Sodium metasilicate,2/1/0/B,https://example.com/sds/warehouse-floor-degreaser.pdf
Citrus Parts Cleaner,Desert Chem,RD-1003,Machine Maintenance,N/A,1,45293,45293,N/A,d-Limonene,2/2/0/B,https://example.com/sds/citrus-parts-cleaner.pdf
Conveyor Belt Lubricant,Inland Maintenance,RD-1004,Lubricant,N/A,1,45294,45294,N/A,Mineral oil,1/1/0/B,https://example.com/sds/conveyor-belt-lubricant.pdf
Stainless Steel Polish,West Coast Janitorial,RD-1005,General Cleaning,N/A,1,45295,45295,N/A,Hydrotreated light petroleum distillates,2/1/0/B,https://example.com/sds/stainless-steel-polish.pdf
Foaming Hand Soap,Sojo Supply,RD-1006,Personnel Cleaning,N/A,1,45296,45296,N/A,Sodium laureth sulfate,1/0/0/B,https://example.com/sds/foaming-hand-soap.pdf
Disinfectant Wipes,Pacific Industrial,RD-1007,Office Cleaning,N/A,1,45297,45297,N/A,Quaternary ammonium compounds,2/1/0/B,https://example.com/sds/disinfectant-wipes.pdf
Label Adhesive Remover,Desert Chem,RD-1008,Machine Maintenance,N/A,1,45298,45298,N/A,Acetone,1/3/0/B,https://example.com/sds/label-adhesive-remover.pdf
Battery Terminal Cleaner,Inland Maintenance,RD-1009,Machine Maintenance,N/A,1,45299,45299,N/A,Sodium bicarbonate,1/0/0/B,https://example.com/sds/battery-terminal-cleaner.pdf
Glass Cleaner Spray,West Coast Janitorial,RD-1010,Office Cleaning,N/A,1,45300,45300,N/A,Isopropyl alcohol,1/2/0/B,https://example.com/sds/glass-cleaner-spray.pdf
