@odata.etag,ItemInternalId,Product Name,Manufacturer,Intended Use,Storage Location,SDS Reference Number,SDS Link
,2a4dff06-49a0-46e0-a922-8469d201ae55,Glass Cleaner,Uline Inc.,Cleaner,Supply Closet,S-19451,SDS Link
,2a471266-c6cf-4885-be89-a91a3bf178d4,Uline Toilet Bowl Cleaner,Uline Inc.,Cleaner,Supply Closet,S-24321,SDS Link
,64dfdc0b-5631-486c-baba-46979173244a,"Uline Antibacterial, Light Moisturizing Hand Soap",Uline Inc.,Cleaner,Supply Closet,Uline SDS – SS-17080 (no SDS # listed),SDS Link
,aed03d88-fa05-45ca-a9f1-b254f6928ac6,Uline Multi-Purpose Cleaner - Lavender,Uline Inc.,Cleaner,Supply Closet,S-19454,SDS Link
,55314a29-4361-4b26-bd48-13bb4816fb74,All Purpose Cleaner,Uline Inc.,Cleaner,Supply Closet,S-19455,SDS Link
,11feee20-82d0-44c3-bc66-1d8eb532a534,FANTASTIK DISINFECTANT MULTI-PURPOSE CLEANER,S.C. Kohnson & Son Inc.,Cleaner,Janitorial Closet,350000032935,SDS Link
,1bb86a1f-f950-493d-89ba-a9a8c7c2d436,Clorox Regular-Bleach,The Clorox Company,Cleaner,Janitorial Closet,5813‑100,SDS Link
,57419985-da93-47bf-95f8-871d3ca33542,Dawn Ultra Dishwashing Liquid,Procter & Gamble Inc.,Cleaner,Maintenance Crib,97591965_RET_NG,SDS Link
,885bb7e7-d052-471f-a73a-95c9b5d41d03,Uline Liquid Dish Soap,Uline Inc.,Cleaner,Supply Closet,S-25782,SDS Link
,96e113cc-25e7-43e8-80cd-38bcdb17fd9a,Professional Lysol Disinfectant Spray,Reckitt Benckiser Inc.,Cleaner,Supply Closet,D0224478,SDS Link
,a75b84df-ded2-41c5-8630-eed03384d367,Simple Green Industrial Cleaner & Degreaser,Sunshine Makers Inc.,Cleaner,Supply Closet,043318004797 (S-7290),SDS Link
,18c18673-9b6c-465b-91cb-e19a785e108c,LU 700 Food Grade Machinery Oil,Sprayon Products Group,Lubricant,Maintenance Flame Cab,S70005000,SDS Link
,a72bc75c-e29f-4f38-aff2-443ae77bdbd7,ZINSSER TUB 4X1.13KG HYDRAULIC CEMENT,Rust-Oleum Corporation,Adhesive,Maintenance Crib,266296,SDS Link
,619e4e6e-1411-4bff-a017-17f06ad1668e,WD-40 3-IN-ONE Multi-Purpose Oil,WD-40 Company,Lubricant,Maintenance Crib,64742-52-5,SDS Link
,a58cf3e1-b6f4-4ddf-95ac-33550ad3cf41,Methyl Ethyl Ketone,Markem-imaje USA,Cleaning Agent,Operations Flame Cab,5100-4,SDS Link
,364b0dcc-b330-4169-976d-cdf74bdf730a,Methyl Ethyl Ketone,Markem-imaje USA,Cleaning Agent,Operations Flame Cab,A188-4,SDS Link
,6f05fad2-1806-43ae-90dc-c82643e15c22,A26060,Markem-imaje USA,Printer Ink,Operations Flame Cab,Mb175-4,SDS Link
,412e7fd1-5fe9-44a9-b028-0c6dd334fc2c,TECHNOMELT COOL 500,Henkel Corporation,Adhesive,Maintenance Crib,1676309,SDS Link
,9520b0a1-7c03-411e-80ee-74705dc85cc9,JET-LUBE AP-5,Jet-Lube LLC,Lubricant,Maintenance Crib,WPS-JLI-021,
,5d56c77b-5d5c-4cdf-8eef-af7e647eb023,LU 700 Food Grade Machinery Oil Aerosol,Sprayon Products,Lubricant,Maintenance Flame Cab,S00700,SDS Link
,a7507daa-9b05-4966-9367-48a768b6c9c6,LU 210 Food Grade Silicone Lubricant Aerosol,Spray Products,Lubricant,Maintenance Crib,S00210,SDS Link
,185b4720-5b0f-41ae-b0c3-cc643aa1cbe0,Spic and Span Disinfecting All-Purpose Spray and Glass Cleaner,Procter & Gamble Professional,Cleaner,Supply Closet,92041835_DIL_PROF_NG,SDS Link
,71ccc1a2-42df-4476-adc7-4e644413f514,Rust-oleum Strust + SSPR 6Pk,Rust-Oleum Corporation,Paint,Maintenance Flame Cab 2,7798830,SDS Link
,a0353000-fdd4-40c7-af5c-ae89ce9ff9f0,American Rock Salt,American Rock Salt Company LLC,De-icing,Supply Closet,767-14-5,SDS Link
,762a12d5-b7b7-4620-8cd6-4cefaffbb6e0,Morton Table Salt,"Morton Salt, Inc.",Salt,Break Room,100,SDS Link
,f29c3b74-ad2c-40e4-9fbf-3c10b92e6731,Mold Armor & Mildew Killer + Quick Stain Remover,W.M. Barr,Cleaner,Supply Closet,FG502,SDS Link
,a50630bb-7f51-43fa-9494-6a3e54b08733,Fabuloso All Purpose Cleaner Liquid Lavender,Colgate-Palmolive Co,Cleaner,Supply Closet,660000000778,SDS Link
,5cf3d78e-d835-41fd-a345-ab6bc6529fe7,Moisturizing Hand Sanitizer,Uline Shipping Supplies,Sanitizer,Maintenance Crib,849AA,SDS Link
,33320bbf-6d0e-4550-ab32-fec68f9ee28c,SP 610 Anti-Static Spray Aerosal,"Sprayon Products Group
(Under Sherwin-Williams)",neutralize static electricity,Maintenance Flame Cab 2,"GHS-85-NA-GHS-US(2020 SDS)
SC0610000(MSDS)",SDS Link
,bd23ba65-67f6-4a2b-849d-d4f60d845bf0,Purple Power Cleaner/Degreaser,Aiken Chemical Company Inc.,Cleaner,Supply Closet,4320P,SDS Link
,1d094cc7-49f6-4433-9d03-25d1a6713b55,PB Penetrating Catalyst (Bulk),The Blaster Corporation,Penetrant,Maintenance Flame Cab 2,"128-PB, 5-PB, 55-PB",SDS Link
,48b87b2a-6637-4438-947a-213f8ee758b7,Chain and Cable Lube,Blaster LLC,Lubricant,Maintenance Crib,16-CCL,SDS Link
